Actinium-227 (89-Ac)
Elapsed Years	Amount
======================
    -		50.00
    1		48.43
    2		46.92
    3		45.45
    4		44.02
    5		42.64
    6		41.31
    7		40.01
    8		38.76
    9		37.54
    10		36.37
    11		35.23
    12		34.12
    13		33.06
    14		32.02
    15		31.02
    16		30.05
    17		29.10
    18		28.19
    19		27.31
    20		26.45
    21		25.62
    22		24.82
